timestamps,open,high,low,close,volume,amount
2025-05-21,9.6309895,9.6709107,9.581088,9.581088,18782251,180709468.6
2025-05-22,9.5611274,9.5711077,9.4613244,9.4713047,26056547,248090787.68
2025-05-23,9.4713047,9.5311865,9.3615214,9.3615214,24022000,227304075.0
2025-05-26,9.3615214,9.7108319,9.3016396,9.5411668,45662592,434078774.4
2025-05-27,9.4413638,9.6010486,9.4413638,9.5012456,26789656,255702126.17
2025-05-28,9.481285,9.5012456,9.3515411,9.3715017,20860500,196732532.0
2025-05-29,9.3515411,9.4114229,9.3315805,9.4114229,17096787,160793906.2
2025-05-30,9.3715017,9.6709107,9.3715017,9.5611274,51623499,495654510.34
2025-06-03,9.4912653,9.6709107,9.4912653,9.6709107,34469153,331890251.39
2025-06-04,9.6709107,9.6709107,9.581088,9.6409698,22218680,214071020.0
2025-06-05,9.6309895,9.6409698,9.481285,9.5112259,26622842,254171737.92
2025-06-06,9.5112259,9.5711077,9.481285,9.5311865,15904300,151824990.0
2025-06-09,9.5012456,9.6509501,9.481285,9.6210092,27473800,264278300.82
2025-06-10,9.581088,9.6409698,9.4613244,9.5112259,25792105,246467224.6
2025-06-11,9.5212062,9.8106349,9.5012456,9.7607334,62167733,604020911.15
2025-06-12,9.7008516,9.7208122,9.6110289,9.6709107,33379056,322568978.33
2025-06-13,9.6509501,9.680891,9.5611274,9.581088,26755690,257373677.35
2025-06-16,9.5611274,9.5711077,9.4912653,9.5511471,19863378,189685886.78
2025-06-17,9.5511471,9.6110289,9.5311865,9.5711077,15975444,153108379.32
2025-06-18,9.5411668,9.5511471,9.4114229,9.4313835,25061217,237309030.42
2025-06-19,9.4214032,9.4413638,9.2517381,9.2716987,26025117,243504491.46
2025-06-20,9.281679,9.3914623,9.281679,9.3016396,22181997,207562392.91
2025-06-23,9.2916593,9.2916593,9.1918563,9.2617184,18510981,171230366.63
2025-06-24,9.2916593,9.3914623,9.2617184,9.381482,18213482,170719281.76
2025-06-25,9.4014426,9.4413638,9.3415608,9.4413638,17982921,169278032.8
2025-06-26,9.4313835,9.4413638,9.3715017,9.3914623,16719782,157596062.84
2025-06-27,9.381482,9.4513441,9.381482,9.3914623,15311957,144378742.16
2025-06-30,9.381482,9.4114229,9.3415608,9.3615214,18621564,174639804.08
2025-07-01,9.3715017,9.4114229,9.3415608,9.3615214,15168446,142392553.46
2025-07-02,9.3615214,9.4214032,9.3315805,9.4214032,25207009,237249097.91
2025-07-03,9.4214032,9.5112259,9.3914623,9.4413638,27792238,262921380.83
2025-07-04,9.4413638,9.4912653,9.4114229,9.4613244,23558170,223066881.6
2025-07-07,9.4413638,9.5112259,9.4014426,9.4912653,18631443,176688046.23
2025-07-08,9.5112259,9.5910683,9.4114229,9.581088,31205467,296896450.41
2025-07-09,9.5511471,9.7108319,9.5411668,9.6010486,43063202,416365043.38
2025-07-10,9.6509501,9.7707137,9.6509501,9.7208122,43133243,419497309.61
2025-07-11,9.7108319,9.9303985,9.680891,9.780694,47549417,467079405.34
2025-07-14,9.7507531,9.8405758,9.7008516,9.8006546,28499300,279426902.0
2025-07-15,9.8006546,9.8505561,9.6210092,9.7108319,38849010,377891939.9
2025-07-16,9.6908713,9.7407728,9.6409698,9.6609304,22118221,214648324.49
2025-07-17,9.680891,9.7307925,9.6110289,9.6609304,20796504,201079264.49
2025-07-18,9.680891,9.7307925,9.6509501,9.7108319,21448000,208336970.0
2025-07-21,9.7208122,9.880497,9.7008516,9.8605364,36480488,358490244.72
2025-07-22,9.8505561,10.179906,9.8106349,10.1399848,65048193,651878809.17
2025-07-23,10.3196302,10.3894923,10.080103,10.1300045,78877837,805105853.22
2025-07-24,10.0401818,10.1300045,9.9703197,10.1300045,47622304,479486995.0
2025-07-25,10.14,10.17,10.01,10.02,31852302,321285583.53
2025-07-28,10.0,10.02,9.92,9.96,28405595,282892553.29
2025-07-29,9.95,9.97,9.78,9.86,32131117,315918381.45
2025-07-30,9.84,9.95,9.79,9.87,30464689,301241807.65
2025-07-31,9.87,9.88,9.6,9.62,44496222,431684360.63
2025-08-01,9.63,9.69,9.58,9.61,22683106,218387312.11
2025-08-04,9.56,9.61,9.53,9.6,20940200,200675361.0
2025-08-05,9.61,9.69,9.61,9.68,20069984,193816899.98
2025-08-06,9.69,9.75,9.63,9.74,20515442,198874392.08
2025-08-07,9.74,9.76,9.65,9.72,18231433,177087727.07
2025-08-08,9.73,9.79,9.72,9.77,21612677,210924185.71
2025-08-11,9.78,9.8,9.69,9.76,21532676,209683210.94
2025-08-12,9.76,9.81,9.7,9.72,20957632,204216281.07
2025-08-13,9.73,9.74,9.67,9.73,25981097,252049995.36
2025-08-14,9.73,9.78,9.6,9.61,30219240,292505824.76
2025-08-15,9.59,9.67,9.57,9.66,22065022,212628609.35
2025-08-18,9.67,9.78,9.66,9.74,31656114,307868670.12
2025-08-19,9.74,9.9,9.71,9.83,44389952,436157154.22
2025-08-20,9.83,9.88,9.77,9.86,33029599,324995377.28
2025-08-21,9.92,10.07,9.88,9.96,58732124,586553514.76
2025-08-22,10.08,10.08,9.88,9.99,38891263,387059109.4
2025-08-25,9.99,10.08,9.94,10.08,49501406,495676422.05
2025-08-26,10.07,10.41,10.0,10.28,76449168,784310087.87
2025-08-27,10.25,10.47,10.1,10.12,81353906,836030853.65
2025-08-28,10.11,10.16,9.88,10.07,55308565,553788068.13
2025-08-29,10.08,10.18,9.86,9.88,63716802,635648584.9
2025-09-01,9.89,9.99,9.75,9.8,72108130,709897939.32
2025-09-02,9.8,9.87,9.71,9.76,47749988,467153760.41
2025-09-03,9.76,9.82,9.56,9.6,48792194,471151983.63
2025-09-04,9.6,9.75,9.56,9.71,46959308,454118684.29
2025-09-05,9.71,9.77,9.57,9.76,35592697,344412286.79
2025-09-08,9.83,10.31,9.83,10.3,150415142,1529200489.64
2025-09-09,10.29,10.33,10.16,10.24,71740698,733511505.54
2025-09-10,10.19,10.24,9.98,10.19,55620987,561923268.84
2025-09-11,10.21,10.61,10.16,10.44,102139027,1070157573.69
2025-09-12,10.38,10.46,10.32,10.36,57360048,596055269.53
2025-09-15,10.37,10.58,10.3,10.52,61384547,641322329.36
2025-09-16,10.44,10.5,10.12,10.27,60211908,617289001.59
2025-09-17,10.25,10.33,10.11,10.14,38090542,387209193.83
2025-09-18,10.14,10.17,9.92,9.97,54822113,549452021.28
2025-09-19,9.96,10.01,9.89,9.93,39235916,390123648.34
2025-09-22,9.87,9.94,9.81,9.91,34744300,342480776.0
2025-09-23,9.9,9.98,9.71,9.83,45911790,450836073.61
2025-09-24,9.79,9.9,9.77,9.9,31786116,313037818.9
2025-09-25,9.88,9.89,9.74,9.78,45273832,443265466.98
2025-09-26,9.76,9.83,9.72,9.74,33195367,324670199.84
2025-09-29,9.7,9.84,9.57,9.84,52851397,511845271.19
2025-09-30,9.8,9.84,9.74,9.8,30494913,298808656.27
2025-10-09,9.81,9.92,9.69,9.91,40430678,396112485.72
2025-10-10,9.9,9.97,9.84,9.93,40371038,399981123.68
2025-10-13,9.85,9.92,9.76,9.85,39090471,383802081.2
2025-10-14,9.85,9.99,9.82,9.9,47177638,467387851.21
2025-10-15,9.89,9.9,9.78,9.84,33369939,328061989.42
2025-10-16,9.84,9.87,9.74,9.76,29006360,283790902.44
2025-10-17,9.73,9.81,9.64,9.68,30316300,294760929.46
2025-10-20,9.71,9.72,9.61,9.63,27647786,266516483.02
2025-10-21,9.64,9.74,9.62,9.72,27400515,265594294.8
2025-10-22,9.7,9.78,9.66,9.66,24288496,235605902.82
2025-10-23,9.65,9.72,9.61,9.7,22595300,218317841.03
2025-10-24,9.71,9.77,9.67,9.69,22670918,219982993.84
2025-10-27,9.7,9.85,9.66,9.82,40522389,396107156.13
2025-10-28,9.82,9.84,9.73,9.75,22587587,220476447.25
2025-10-29,9.75,9.78,9.68,9.78,22571759,219654979.24
2025-10-30,9.78,9.78,9.67,9.67,26487563,257410695.74
2025-10-31,9.67,9.76,9.65,9.73,29383418,285196909.03
2025-11-03,9.72,9.86,9.67,9.85,37147483,363854215.0
2025-11-04,9.82,9.84,9.72,9.75,27200487,265861524.25
2025-11-05,9.71,9.81,9.69,9.78,22044453,215438402.38
2025-11-06,9.78,9.82,9.74,9.77,22756795,222464474.2
2025-11-07,9.78,9.88,9.77,9.81,37214205,366122767.2
2025-11-10,9.82,10.05,9.78,10.05,56267213,560051638.7
2025-11-11,10.05,10.08,9.95,10.05,38614598,386896488.41
2025-11-12,10.04,10.08,9.93,9.98,31187507,311355505.43
2025-11-13,9.98,10.0,9.88,9.99,33928252,337090425.9
2025-11-14,9.96,10.06,9.89,9.9,28516700,283910038.0
2025-11-17,9.86,9.91,9.78,9.86,33240933,327046644.38
2025-11-18,9.82,9.87,9.71,9.73,28295593,276571622.76
2025-11-19,9.74,9.77,9.65,9.74,28405856,275704337.88
2025-11-20,9.73,9.75,9.65,9.65,26207868,253594454.66
2025-11-21,9.58,9.66,9.35,9.36,46426765,440397448.37
2025-11-24,9.37,9.51,9.37,9.43,21395818,201910693.1
2025-11-25,9.43,9.47,9.37,9.45,17244374,162745662.74
2025-11-26,9.43,9.48,9.41,9.41,13719000,129490351.6
2025-11-27,9.42,9.44,9.35,9.37,19444390,182587798.12
2025-11-28,9.35,9.41,9.29,9.41,17490149,163489798.15
2025-12-01,9.42,9.48,9.38,9.47,16842865,159165504.22
2025-12-02,9.48,9.48,9.39,9.4,14808463,139407530.57
2025-12-03,9.4,9.43,9.3,9.34,16385448,153325648.28
2025-12-04,9.3,9.34,9.22,9.24,18180094,168449559.12
2025-12-05,9.24,9.3,9.2,9.29,18554477,171394787.72
2025-12-08,9.34,9.35,9.21,9.23,27257420,252489145.4
2025-12-09,9.22,9.25,8.99,9.02,39847400,363418103.0
2025-12-10,9.01,9.1,8.94,8.95,38565420,346987773.0
2025-12-11,8.96,9.11,8.86,9.04,43278208,388129006.34
2025-12-12,9.01,9.09,8.96,9.08,24176316,218452621.06
2025-12-15,9.04,9.15,9.03,9.06,21185302,192823313.18
2025-12-16,9.06,9.11,8.96,9.02,16882048,152403690.62
2025-12-17,9.25,9.3,9.08,9.16,33911528,310807365.45
2025-12-18,9.11,9.19,9.1,9.13,16948157,154973087.96
2025-12-19,9.12,9.31,9.09,9.21,37366970,344349083.96
2025-12-22,9.21,9.24,9.16,9.18,19304148,177525312.12
2025-12-23,9.18,9.22,9.12,9.13,15021893,137509221.09
2025-12-24,9.12,9.15,9.07,9.1,15862131,144519110.35
2025-12-25,9.11,9.15,9.11,9.13,14207506,129707973.72
2025-12-26,9.13,9.16,9.09,9.13,17155650,156465239.73
2025-12-29,9.14,9.27,9.1,9.2,29475567,271476937.88
2025-12-30,9.2,9.33,9.19,9.26,28635855,265129451.24
2025-12-31,9.26,9.27,9.15,9.22,20091947,184891183.15
2026-01-05,9.23,9.23,9.17,9.21,18608213,171078684.91
2026-01-06,9.21,9.3,9.19,9.3,28316421,262156259.46
2026-01-07,9.29,9.32,9.22,9.23,24600844,228230727.02
2026-01-08,9.22,9.27,9.2,9.27,18722234,172988844.54
2026-01-09,9.27,9.29,9.21,9.26,23032596,213000914.06
2026-01-12,9.26,9.28,9.22,9.28,31591971,292085016.82
2026-01-13,9.27,9.27,9.14,9.15,40358440,371633542.6
2026-01-14,9.15,9.21,8.93,8.97,69997096,635045707.48
2026-01-15,8.96,9.02,8.96,8.98,32671636,293552490.92
2026-01-16,9.0,9.01,8.81,8.84,48428118,430452305.55
2026-01-19,8.85,8.9,8.84,8.89,27078238,240267666.54
2026-01-20,8.88,8.94,8.86,8.92,25824428,230042760.86
2026-01-21,8.89,8.92,8.82,8.83,30716426,271949959.58
2026-01-22,8.84,8.87,8.73,8.75,54351389,477080191.41
2026-01-23,8.72,8.78,8.65,8.68,80127137,696992317.56
2026-01-26,8.69,8.93,8.56,8.92,108732710,950992048.2
2026-01-27,8.88,8.88,8.71,8.75,53921108,472831420.99
2026-01-28,8.73,8.92,8.71,8.87,59310439,523350393.41
2026-01-29,8.88,9.0,8.85,8.98,55086741,491950194.26
2026-01-30,8.94,9.2,8.89,9.04,74796168,679378962.51
2026-02-02,8.72,8.81,8.57,8.67,65841055,573098495.14
2026-02-03,8.66,8.71,8.58,8.67,34449502,297135089.68
2026-02-04,8.69,8.75,8.64,8.74,27705568,241116370.77
2026-02-05,8.74,8.78,8.68,8.71,23265368,202856198.79
2026-02-06,8.7,8.75,8.65,8.69,21219355,184562105.72
2026-02-09,8.71,8.73,8.68,8.7,20997289,182726414.53
2026-02-10,8.72,8.72,8.65,8.67,18173400,157645737.27
2026-02-11,8.68,8.72,8.64,8.68,20821816,180630826.59
2026-02-12,8.66,8.67,8.6,8.6,20726462,178590717.2
2026-02-13,8.61,8.65,8.56,8.58,17529800,150634269.22
2026-02-24,8.58,8.62,8.58,8.62,15111757,129939339.82
2026-02-25,8.62,8.7,8.61,8.66,27224328,235955261.2
2026-02-26,8.69,8.72,8.61,8.63,19906700,172222165.0
2026-02-27,8.63,8.71,8.62,8.71,24936550,216481394.8
2026-03-02,8.66,8.75,8.61,8.68,29590326,256445036.17
2026-03-03,8.66,8.83,8.64,8.71,51655578,451951295.89
2026-03-04,8.72,8.82,8.66,8.8,48987122,429575672.65
2026-03-05,8.78,8.78,8.67,8.72,32683597,284541734.95
2026-03-06,8.68,8.89,8.64,8.87,48001265,422607895.3
2026-03-09,8.87,9.0,8.8,8.82,55841636,496643557.53
2026-03-10,8.79,8.87,8.71,8.84,32762550,288590794.76
2026-03-11,8.83,8.92,8.77,8.91,35357155,313205005.24
2026-03-12,8.91,8.96,8.83,8.94,40853866,364120683.22
2026-03-13,8.93,8.97,8.86,8.87,38246164,340892847.28
2026-03-16,8.89,9.04,8.84,8.87,43885983,391597227.2
