timestamps,open,high,low,close,volume,amount
2024-11-25 09:35:00,11.33,11.4,11.29,11.3,1472800,16701769.0
2024-11-25 09:40:00,11.3,11.38,11.17,11.38,1646800,18495754.0
2024-11-25 09:45:00,11.38,11.38,11.19,11.19,716700,8070904.0
2024-11-25 09:50:00,11.19,11.25,11.15,11.2,807200,9027536.0
2024-11-25 09:55:00,11.2,11.22,11.1,11.1,710700,7930356.0
2024-11-25 10:00:00,11.1,11.16,11.08,11.12,671900,7464144.0
2024-11-25 10:05:00,11.12,11.2,11.12,11.16,392600,4377760.0
2024-11-25 10:10:00,11.16,11.24,11.16,11.24,334800,3745944.0
2024-11-25 10:15:00,11.24,11.29,11.22,11.28,266800,3005872.0
2024-11-25 10:20:00,11.28,11.31,11.27,11.29,253200,2859400.0
2024-11-25 10:25:00,11.29,11.32,11.27,11.27,286800,3239320.0
2024-11-25 10:30:00,11.27,11.32,11.24,11.28,231900,2616744.0
2024-11-25 10:35:00,11.28,11.33,11.25,11.33,159700,1801848.0
2024-11-25 10:40:00,11.33,11.35,11.29,11.3,212900,2409640.0
2024-11-25 10:45:00,11.3,11.31,11.25,11.26,226000,2548432.0
2024-11-25 10:50:00,11.26,11.26,11.21,11.21,161600,1816224.0
2024-11-25 10:55:00,11.21,11.21,11.19,11.21,255800,2865776.0
2024-11-25 11:00:00,11.21,11.21,11.19,11.19,93300,1044088.0
2024-11-25 11:05:00,11.19,11.2,11.17,11.19,199200,2228168.0
2024-11-25 11:10:00,11.19,11.2,11.18,11.2,133600,1495064.0
2024-11-25 11:15:00,11.2,11.21,11.18,11.2,125400,1403952.0
2024-11-25 11:20:00,11.2,11.26,11.19,11.26,144400,1620080.0
2024-11-25 11:25:00,11.26,11.26,11.21,11.24,190500,2140176.0
2024-11-25 11:30:00,11.24,11.25,11.19,11.2,135500,1519840.0
2024-11-25 13:05:00,11.19,11.25,11.18,11.25,218800,2452408.0
2024-11-25 13:10:00,11.25,11.3,11.25,11.3,194000,2186216.0
2024-11-25 13:15:00,11.3,11.31,11.26,11.3,147200,1661592.0
2024-11-25 13:20:00,11.3,11.3,11.23,11.23,106900,1202984.0
2024-11-25 13:25:00,11.23,11.23,11.18,11.19,194100,2172456.0
2024-11-25 13:30:00,11.19,11.21,11.18,11.21,167000,1869208.0
2024-11-25 13:35:00,11.21,11.21,11.16,11.17,399500,4464432.0
2024-11-25 13:40:00,11.17,11.17,11.15,11.16,195300,2179024.0
2024-11-25 13:45:00,11.16,11.17,11.13,11.14,234300,2612704.0
2024-11-25 13:50:00,11.14,11.14,11.1,11.13,319000,3547336.0
2024-11-25 13:55:00,11.13,11.15,11.11,11.12,318100,3538200.0
2024-11-25 14:00:00,11.12,11.13,11.09,11.1,284800,3161488.0
2024-11-25 14:05:00,11.1,11.1,11.08,11.08,381400,4227424.0
2024-11-25 14:10:00,11.08,11.15,11.06,11.15,268500,2977456.0
2024-11-25 14:15:00,11.14,11.15,11.11,11.11,144800,1610992.0
2024-11-25 14:20:00,11.11,11.11,11.08,11.11,347800,3857872.0
2024-11-25 14:25:00,11.12,11.17,11.11,11.17,361700,4028896.0
2024-11-25 14:30:00,11.17,11.23,11.17,11.19,260300,2914832.0
2024-11-25 14:35:00,11.19,11.27,11.17,11.25,239900,2690240.0
2024-11-25 14:40:00,11.25,11.29,11.24,11.27,334300,3767056.0
