T,top_p,mape
0.9,0.6,0.7939386410198392
0.3,0.9,0.8253853309012583
0.9,0.8,0.8545380093181714
0.1,0.5,0.8626943916212151
0.1,0.95,0.8723982738027766
0.7,0.7,0.8730262766338047
0.1,0.7,0.878799432084843
0.1,0.8,0.8852324978815909
0.7,0.6,0.8926186855475052
0.9,0.7,0.8942164404752755
0.1,0.9,0.9082797207109851
0.3,0.95,0.9092194651652686
0.7,0.5,0.9289015833231558
0.9,0.5,0.930025922803258
0.1,0.6,0.938570115233207
0.3,0.5,0.9442677213298195
0.5,0.5,0.9504007596043106
0.3,0.8,0.9520384576828096
0.7,0.9,0.9703508214121455
0.9,0.9,0.980514384612765
0.5,0.8,0.9936745041507739
0.3,0.6,0.9999021276618805
0.5,0.6,1.0360343539559487
0.3,0.7,1.0451043948115353
0.5,0.9,1.0560891110017816
0.5,0.95,1.0751455566306907
0.7,0.8,1.1561073428590736
0.7,0.95,1.1890137370194196
0.5,0.7,1.2635683700904219
0.9,0.95,1.7565224601315585
